Name,Freq,Month,Year,Date,State,url_1,url_2,url_3,internet_revenue,retail_revenue,internet_handle,retail_handle,internet_promo,tier_1_internet_wagers,tier_1_internet_handle,tier_1_internet_revenue,tier_2_internet_wagers,tier_2_internet_handle,tier_2_internet_revenue,tier_1_retail_wagers,tier_1_retail_handle,tier_1_retail_revenue,tier_2_retail_wagers,tier_2_retail_handle,tier_2_retail_revenue,internet_hold,retail_hold,retail_betsize,internet_betsize
Blue Chip Casino,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Horseshoe Hammond,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Belterra Casino,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Caesars Southern Indiana,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
French Lick Resort,Monthly,5,2020,2020-05,IN,none,,,,-341.0,,0.0,,,,,,,,,,,,,,,,,
Hollywood Lawrenceburg,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Rising Star Casino,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Tropicana Evansville,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Harrah's Hoosier Park,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Indiana Grand,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Ameristar Casino,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Blue Chip Casino,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Horseshoe Hammond,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Belterra Casino,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Caesars Southern Indiana,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
French Lick Resort,Monthly,11,2020,2020-11,IN,none,,,,-341.0,,0.0,,,,,,,,,,,,,,,,,
Hollywood Lawrenceburg,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Rising Star Casino,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Tropicana Evansville,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Harrah's Hoosier Park,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Indiana Grand,Monthly,11,2020,2020-11,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Blue Chip Casino,Monthly,10,2020,2020-10,IN,none,,,,376551.0,,1762403.0,,,,,,,,,,,,,,,0.21365771619771415,,
Horseshoe Hammond,Monthly,10,2020,2020-10,IN,none,,,,1018310.0,,4901914.0,,,,,,,,,,,,,,,0.20773722264405292,,
